,sector,propertyType,builtup,bedRooms,bathRooms,agePossesion,balcony,pooja room,servant room,study room,others,store room,luxCat,heightCat,Y
0,27.0,1.0,1773.0,6.0,6.0,3.0,3.0,0,0,0,0,0,0.0,1.0,4.26
1,35.0,0.0,1554.4,3.0,3.0,3.0,1.0,0,0,0,0,0,2.0,2.0,1.7
2,60.0,0.0,1431.2,3.0,3.0,3.0,4.0,0,0,0,0,1,2.0,2.0,2.5
3,77.0,1.0,4509.0,4.0,4.0,3.0,2.0,0,1,1,0,0,0.0,1.0,10.4
4,109.0,1.0,4350.0,4.0,4.0,3.0,4.0,1,1,1,0,1,2.0,1.0,6.7
5,72.0,1.0,3231.0,3.0,3.0,1.0,2.0,1,1,1,0,1,2.0,1.0,3.7
6,92.0,0.0,2349.4,4.0,4.0,3.0,4.0,0,1,0,1,0,0.0,2.0,3.9
7,100.0,0.0,2040.0,3.0,3.0,1.0,4.0,0,0,0,0,0,1.0,2.0,4.84
8,70.0,1.0,4200.0,5.0,6.0,3.0,2.0,1,1,0,0,0,1.0,1.0,8.0
9,53.0,1.0,4518.0,5.0,7.0,0.0,3.0,1,1,1,0,1,1.0,1.0,11.0
10,119.0,0.0,1489.6,3.0,3.0,3.0,4.0,0,0,0,0,0,2.0,2.0,1.93
11,30.0,0.0,1511.2,3.0,3.0,3.0,4.0,0,1,0,0,0,2.0,0.0,2.55
12,107.0,0.0,937.5,2.0,2.0,0.0,2.0,0,0,0,1,0,2.0,2.0,1.05
13,92.0,0.0,1554.4,3.0,4.0,0.0,2.0,0,0,0,0,0,2.0,0.0,2.85
14,118.0,0.0,2009.4,4.0,4.0,0.0,3.0,0,1,0,0,1,0.0,2.0,2.35
15,30.0,0.0,911.25,2.0,2.0,3.0,2.0,0,0,0,0,0,0.0,2.0,1.85
16,50.0,1.0,1467.0,4.0,5.0,3.0,3.0,0,1,0,0,0,1.0,1.0,5.31
17,32.0,0.0,2677.5,4.0,4.0,3.0,2.0,0,1,1,0,0,2.0,2.0,3.8
18,60.0,1.0,2461.25,3.0,3.0,1.0,3.0,1,0,0,0,0,1.0,1.0,3.75
19,79.0,1.0,3330.0,9.0,9.0,3.0,4.0,1,0,0,0,0,1.0,1.0,6.0
20,91.0,0.0,1632.0,3.0,3.0,1.0,4.0,0,1,0,0,0,2.0,0.0,3.77
21,70.0,1.0,4350.0,4.0,5.0,0.0,2.0,1,1,0,0,0,1.0,1.0,7.45
22,50.0,1.0,2864.0,6.0,6.0,0.0,4.0,1,0,0,0,0,1.0,1.0,8.39
23,98.0,1.0,3850.0,5.0,5.0,0.0,4.0,0,1,0,0,0,1.0,0.0,4.7
24,70.0,1.0,4509.0,8.0,8.0,0.0,4.0,1,0,0,0,0,0.0,2.0,6.7
25,53.0,1.0,4518.0,4.0,4.0,3.0,4.0,1,1,1,0,1,1.0,1.0,20.0
26,31.0,0.0,1110.75,2.0,2.0,3.0,2.0,0,0,1,0,0,0.0,2.0,1.5
27,31.0,0.0,1600.0,3.0,3.0,3.0,2.0,0,0,1,0,0,1.0,2.0,2.0
28,63.0,0.0,1440.0,3.0,3.0,3.0,2.0,0,0,0,0,0,2.0,0.0,1.65
29,92.0,0.0,2048.5,4.0,4.0,3.0,4.0,0,1,0,0,0,1.0,2.0,4.2
30,113.0,1.0,4500.0,4.0,4.0,0.0,4.0,1,1,0,0,0,1.0,1.0,4.1
31,74.0,1.0,4500.0,4.0,4.0,0.0,3.0,0,1,0,0,0,2.0,1.0,12.5
32,74.0,0.0,1488.0,3.0,4.0,3.0,4.0,0,1,1,0,0,1.0,2.0,3.2
33,30.0,0.0,2718.2999999999997,4.0,5.0,3.0,4.0,0,0,0,0,0,2.0,2.0,3.7
34,34.0,1.0,975.5,2.0,3.0,3.0,2.0,1,0,0,0,0,1.0,0.0,1.65
35,35.0,0.0,1888.8,3.0,4.0,3.0,2.0,1,1,0,0,0,1.0,2.0,2.0
36,52.0,1.0,6700.0,6.0,6.0,0.0,4.0,1,1,1,0,1,2.0,1.0,18.5
37,121.0,0.0,471.0,2.0,2.0,1.0,4.0,0,0,0,0,0,1.0,2.0,0.66
38,81.0,0.0,1852.0,3.0,3.0,2.0,4.0,0,1,0,0,0,0.0,0.0,8.0
39,27.0,1.0,4500.0,10.0,7.0,3.0,3.0,1,0,0,0,1,0.0,2.0,4.0
40,54.0,1.0,4350.0,5.0,6.0,0.0,4.0,1,1,0,0,0,0.0,1.0,9.25
41,27.0,1.0,4518.0,7.0,7.0,3.0,3.0,1,1,0,0,0,0.0,1.0,8.05
42,57.0,0.0,1662.4,3.0,3.0,3.0,4.0,0,0,0,0,0,0.0,2.0,1.95
43,84.0,1.0,4500.0,4.0,6.0,2.0,4.0,1,1,1,0,0,0.0,1.0,8.25
44,27.0,1.0,4680.0,6.0,6.0,0.0,4.0,1,1,1,0,1,0.0,1.0,10.5
45,81.0,1.0,4500.0,5.0,6.0,3.0,3.0,1,1,1,0,1,1.0,1.0,12.0
46,79.0,1.0,4500.0,8.0,8.0,3.0,4.0,1,1,1,0,1,2.0,2.0,4.5
47,55.0,1.0,4500.0,6.0,7.0,3.0,3.0,1,1,1,0,1,1.0,2.0,9.5
48,113.0,0.0,1543.2,3.0,3.0,3.0,2.0,0,0,0,0,0,1.0,0.0,2.25
49,120.0,0.0,1596.0,3.0,4.0,3.0,2.0,0,1,0,0,0,1.0,1.0,2.25
50,35.0,0.0,1888.8,3.0,4.0,3.0,2.0,0,1,0,0,0,1.0,2.0,2.15
51,100.0,1.0,2610.0,4.0,4.0,1.0,2.0,0,1,0,0,1,2.0,1.0,6.5
52,100.0,1.0,7000.0,4.0,5.0,3.0,4.0,1,1,1,0,0,0.0,1.0,11.0
53,39.0,1.0,4518.0,6.0,8.0,3.0,4.0,1,1,1,0,1,1.0,1.0,8.5
54,100.0,1.0,8500.0,5.0,6.0,3.0,4.0,1,1,1,0,0,0.0,2.0,16.7
55,104.0,1.0,4500.0,4.0,3.0,1.0,2.0,0,1,0,0,0,0.0,2.0,4.25
56,55.0,0.0,1554.4,3.0,3.0,2.0,2.0,0,0,0,0,1,1.0,2.0,2.25
57,98.0,0.0,1560.0,3.0,4.0,3.0,3.0,1,0,0,0,0,1.0,2.0,2.35
58,70.0,1.0,4518.0,8.0,8.0,0.0,4.0,1,1,0,0,0,1.0,1.0,14.0
59,109.0,1.0,2911.25,3.0,2.0,0.0,2.0,0,0,0,0,0,2.0,1.0,5.7
60,110.0,0.0,1388.0,3.0,3.0,0.0,2.0,0,0,0,0,0,2.0,2.0,1.9
61,75.0,1.0,4259.0,5.0,4.0,2.0,3.0,0,1,0,0,0,1.0,1.0,4.5
62,59.0,1.0,4518.0,7.0,7.0,0.0,4.0,0,0,1,1,0,0.0,1.0,9.05
63,112.0,0.0,1230.0,2.0,2.0,3.0,2.0,0,0,0,1,0,2.0,2.0,1.75
64,27.0,1.0,4509.0,6.0,5.0,0.0,3.0,1,1,0,0,1,2.0,1.0,6.85
65,89.0,0.0,1131.0,2.0,2.0,3.0,4.0,0,0,0,0,0,1.0,1.0,3.57
66,109.0,1.0,4200.0,4.0,6.0,1.0,4.0,1,1,1,0,1,2.0,1.0,6.0
67,52.0,1.0,4509.0,4.0,4.0,2.0,4.0,1,1,1,1,0,0.0,1.0,19.9
68,84.0,0.0,2069.6,3.0,4.0,0.0,4.0,0,1,1,0,0,2.0,2.0,3.5
69,38.0,0.0,6315.5,5.0,6.0,0.0,3.0,1,1,1,0,1,1.0,0.0,8.2
70,36.0,0.0,1874.4,3.0,5.0,3.0,2.0,0,1,0,0,0,1.0,2.0,4.9
71,74.0,0.0,1332.0,3.0,3.0,2.0,4.0,0,1,0,0,0,1.0,1.0,2.8
72,88.0,0.0,1023.75,2.0,2.0,0.0,2.0,0,0,0,0,0,1.0,2.0,2.3
73,70.0,1.0,4860.0,11.0,11.0,1.0,4.0,0,0,0,0,0,0.0,2.0,3.5
74,100.0,1.0,7000.0,4.0,4.0,0.0,4.0,1,1,1,0,0,0.0,1.0,10.5
75,54.0,1.0,4350.0,6.0,6.0,0.0,4.0,1,1,0,0,0,1.0,1.0,11.25
