,sector,propertyType,builtup,bedRooms,bathRooms,agePossesion,balcony,pooja room,servant room,study room,others,store room,luxCat,heightCat,Y
0,1,1.0,1773.0,6.0,6.0,3.0,3.0,0,0,0,0,0,0.0,1.0,4.26
1,107,0.0,1554.4,3.0,3.0,3.0,1.0,0,0,0,0,0,2.0,2.0,1.7
2,33,0.0,1431.2,3.0,3.0,3.0,4.0,0,0,0,0,1,2.0,2.0,2.5
3,50,1.0,4509.0,4.0,4.0,3.0,2.0,0,1,1,0,0,0.0,1.0,10.4
4,82,1.0,4350.0,4.0,4.0,3.0,4.0,1,1,1,0,1,2.0,1.0,6.7
5,46,1.0,3231.0,3.0,3.0,1.0,2.0,1,1,1,0,1,2.0,1.0,3.7
6,66,0.0,2349.4,4.0,4.0,3.0,4.0,0,1,0,1,0,0.0,2.0,3.9
7,72,0.0,2040.0,3.0,3.0,1.0,4.0,0,0,0,0,0,1.0,2.0,4.84
8,43,1.0,4200.0,5.0,6.0,3.0,2.0,1,1,0,0,0,1.0,1.0,8.0
9,26,1.0,4518.0,5.0,7.0,0.0,3.0,1,1,1,0,1,1.0,1.0,11.0
10,91,0.0,1489.6,3.0,3.0,3.0,4.0,0,0,0,0,0,2.0,2.0,1.93
11,102,0.0,1511.2,3.0,3.0,3.0,4.0,0,1,0,0,0,2.0,0.0,2.55
12,81,0.0,937.5,2.0,2.0,0.0,2.0,0,0,0,1,0,2.0,2.0,1.05
13,66,0.0,1554.4,3.0,4.0,0.0,2.0,0,0,0,0,0,2.0,0.0,2.85
14,90,0.0,2009.4,4.0,4.0,0.0,3.0,0,1,0,0,1,0.0,2.0,2.35
15,102,0.0,911.25,2.0,2.0,3.0,2.0,0,0,0,0,0,0.0,2.0,1.85
16,23,1.0,1467.0,4.0,5.0,3.0,3.0,0,1,0,0,0,1.0,1.0,5.31
17,104,0.0,2677.5,4.0,4.0,3.0,2.0,0,1,1,0,0,2.0,2.0,3.8
18,33,1.0,2461.25,3.0,3.0,1.0,3.0,1,0,0,0,0,1.0,1.0,3.75
19,52,1.0,3330.0,9.0,9.0,3.0,4.0,1,0,0,0,0,1.0,1.0,6.0
20,65,0.0,1632.0,3.0,3.0,1.0,4.0,0,1,0,0,0,2.0,0.0,3.77
21,43,1.0,4350.0,4.0,5.0,0.0,2.0,1,1,0,0,0,1.0,1.0,7.45
22,23,1.0,2864.0,6.0,6.0,0.0,4.0,1,0,0,0,0,1.0,1.0,8.39
23,70,1.0,3850.0,5.0,5.0,0.0,4.0,0,1,0,0,0,1.0,0.0,4.7
24,43,1.0,4509.0,8.0,8.0,0.0,4.0,1,0,0,0,0,0.0,2.0,6.7
25,26,1.0,4518.0,4.0,4.0,3.0,4.0,1,1,1,0,1,1.0,1.0,20.0
26,103,0.0,1110.75,2.0,2.0,3.0,2.0,0,0,1,0,0,0.0,2.0,1.5
27,103,0.0,1600.0,3.0,3.0,3.0,2.0,0,0,1,0,0,1.0,2.0,2.0
28,37,0.0,1440.0,3.0,3.0,3.0,2.0,0,0,0,0,0,2.0,0.0,1.65
29,66,0.0,2048.5,4.0,4.0,3.0,4.0,0,1,0,0,0,1.0,2.0,4.2
30,86,1.0,4500.0,4.0,4.0,0.0,4.0,1,1,0,0,0,1.0,1.0,4.1
31,48,1.0,4500.0,4.0,4.0,0.0,3.0,0,1,0,0,0,2.0,1.0,12.5
32,48,0.0,1488.0,3.0,4.0,3.0,4.0,0,1,1,0,0,1.0,2.0,3.2
33,102,0.0,2718.2999999999997,4.0,5.0,3.0,4.0,0,0,0,0,0,2.0,2.0,3.7
34,106,1.0,975.5,2.0,3.0,3.0,2.0,1,0,0,0,0,1.0,0.0,1.65
35,107,0.0,1888.8,3.0,4.0,3.0,2.0,1,1,0,0,0,1.0,2.0,2.0
